                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.63964,                0.72994,                0.47096,                0.90369,                0.92241,                0.92155,                0.95495,                0.76549,                0.93533,                0.93434,                0.96206,                0.77066,                0.73749,                0.85554,                0.53233,                 0.9749,               0.005446,               0.005446,               0.005446
                     25,                0.63246,                0.71077,                 0.4544,                0.89842,                0.96237,                0.94315,                0.97776,                0.82313,                0.97304,                0.95349,                0.98078,                0.81758,                0.62192,                0.78437,                0.42752,                0.90098,               0.005248,               0.005248,               0.005248
                     26,                0.62967,                0.71397,                0.43532,                0.89822,                0.96257,                0.93798,                0.96745,                0.80907,                0.98144,                0.95652,                0.97471,                0.82314,                 0.6255,                 0.7232,                0.42382,                0.89412,                0.00505,                0.00505,                0.00505
                     27,                0.62483,                0.72638,                 0.4509,                0.89909,                0.94507,                 0.9509,                0.96693,                0.79857,                 0.9649,                0.97158,                0.98236,                0.81641,                0.63442,                0.74206,                0.41046,                0.92553,               0.004852,               0.004852,               0.004852
                     28,                0.61171,                0.71387,                0.44215,                0.88722,                0.96072,                0.94793,                0.97835,                0.82011,                0.96889,                0.96579,                0.98789,                0.83383,                0.61463,                0.71288,                0.43158,                0.90242,               0.004654,               0.004654,               0.004654
                     29,                0.62326,                 0.6684,                 0.4327,                0.89091,                0.94781,                0.95866,                0.97388,                0.82119,                0.96921,                0.97933,                0.98387,                0.82962,                0.59804,                0.68444,                0.37974,                0.89431,               0.004456,               0.004456,               0.004456
                     30,                0.59276,                0.70117,                0.42906,                0.88639,                0.95654,                0.96685,                0.98154,                0.82718,                0.96349,                0.96899,                0.98358,                0.82291,                0.59619,                0.70016,                0.40488,                0.88993,               0.004258,               0.004258,               0.004258
                     31,                0.59085,                0.67339,                0.42823,                0.87925,                 0.9511,                0.95484,                0.97228,                0.81761,                0.97633,                0.95922,                0.98538,                0.82301,                0.61722,                0.74813,                0.41788,                0.89727,                0.00406,                0.00406,                0.00406
                     32,                   0.59,                0.66013,                0.42258,                0.88788,                0.96171,                0.96124,                0.98318,                0.84492,                0.97673,                 0.9761,                0.98871,                0.84836,                0.59806,                0.67705,                0.38815,                0.90271,               0.003862,               0.003862,               0.003862
                     33,                0.59848,                0.66269,                0.41303,                0.88084,                0.95876,                0.96118,                 0.9801,                0.84129,                0.96501,                0.96899,                0.99034,                0.85006,                0.59073,                0.69263,                0.37215,                 0.8948,               0.003664,               0.003664,               0.003664
                     34,                0.57372,                0.66385,                0.39718,                0.87068,                0.96472,                0.95607,                0.98546,                0.84542,                0.96994,                0.96124,                 0.9872,                0.85097,                0.57336,                0.67005,                0.36835,                0.89203,               0.003466,               0.003466,               0.003466
                     35,                0.56312,                0.63983,                  0.391,                0.87456,                0.97854,                0.95349,                0.98019,                0.85203,                0.97774,                0.96124,                0.98015,                0.84198,                0.56083,                0.65914,                0.36574,                0.88553,               0.003268,               0.003268,               0.003268
                     36,                0.56133,                0.65326,                0.38106,                0.87163,                 0.9678,                0.94832,                0.97967,                0.85659,                0.97665,                0.95866,                 0.9884,                0.85107,                 0.5551,                0.66279,                0.35591,                0.88109,                0.00307,                0.00307,                0.00307
                     37,                0.55252,                0.65721,                0.37178,                0.86903,                 0.9648,                0.96899,                0.98162,                0.84727,                0.96201,                 0.9816,                0.98691,                0.84246,                0.58572,                 0.6828,                0.35369,                0.90158,               0.002872,               0.002872,               0.002872
